LoRa RX #1: T=33.8 C, PM1=14.0, PM2=26.7 ug/m3, flame=505, RSSI=-104 dBm, SNR=8.7 dB
LoRa RX #17: T=36.8 C, PM1=14.2, PM2=28.0 ug/m3, flame=524, RSSI=-103 dBm, SNR=9.0 dB
LoRa RX #18: T=37.1 C, PM1=13.8, PM2=27.9 ug/m3, flame=524, RSSI=-103 dBm, SNR=9.4 dB
LoRa RX #19: T=36.6 C, PM1=14.1, PM2=27.3 ug/m3, flame=526, RSSI=-103 dBm, SNR=9.4 dB
LoRa RX #20: T=36.7 C, PM1=14.3, PM2=28.2 ug/m3, flame=526, RSSI=-104 dBm, SNR=9.4 dB
LoRa RX #21: T=37.0 C, PM1=14.2, PM2=28.0 ug/m3, flame=524, RSSI=-102 dBm, SNR=9.2 dB
LoRa RX #22: T=37.0 C, PM1=13.9, PM2=27.9 ug/m3, flame=531, RSSI=-102 dBm, SNR=9.3 dB
LoRa RX #23: T=37.1 C, PM1=14.1, PM2=28.3 ug/m3, flame=525, RSSI=-101 dBm, SNR=9.5 dB
LoRa RX #24: T=37.4 C, PM1=14.4, PM2=28.3 ug/m3, flame=534, RSSI=-101 dBm, SNR=9.1 dB
LoRa RX #25: T=37.3 C, PM1=13.9, PM2=27.3 ug/m3, flame=530, RSSI=-102 dBm, SNR=9.5 dB
LoRa RX #26: T=37.1 C, PM1=13.9, PM2=28.3 ug/m3, flame=534, RSSI=-102 dBm, SNR=9.5 dB
LoRa RX #27: T=37.1 C, PM1=14.3, PM2=29.3 ug/m3, flame=530, RSSI=-103 dBm, SNR=9.0 dB
LoRa RX #28: T=37.2 C, PM1=13.8, PM2=28.1 ug/m3, flame=535, RSSI=-103 dBm, SNR=9.5 dB
LoRa RX #29: T=37.1 C, PM1=13.6, PM2=27.6 ug/m3, flame=535, RSSI=-102 dBm, SNR=9.2 dB
LoRa RX #30: T=37.7 C, PM1=14.0, PM2=28.0 ug/m3, flame=533, RSSI=-102 dBm, SNR=9.5 dB
LoRa RX #31: T=37.2 C, PM1=13.9, PM2=29.0 ug/m3, flame=534, RSSI=-103 dBm, SNR=9.6 dB
LoRa RX #32: T=37.6 C, PM1=13.5, PM2=26.5 ug/m3, flame=531, RSSI=-102 dBm, SNR=9.6 dB
LoRa RX #33: T=37.5 C, PM1=13.9, PM2=28.5 ug/m3, flame=531, RSSI=-101 dBm, SNR=9.5 dB
LoRa RX #34: T=37.3 C, PM1=13.7, PM2=27.0 ug/m3, flame=530, RSSI=-103 dBm, SNR=9.3 dB
LoRa RX #35: T=37.0 C, PM1=13.7, PM2=27.6 ug/m3, flame=532, RSSI=-101 dBm, SNR=9.4 dB
LoRa RX #36: T=37.1 C, PM1=13.6, PM2=27.2 ug/m3, flame=539, RSSI=-102 dBm, SNR=9.1 dB
LoRa RX #37: T=37.3 C, PM1=13.5, PM2=27.8 ug/m3, flame=539, RSSI=-100 dBm, SNR=9.2 dB
LoRa RX #38: T=37.0 C, PM1=13.8, PM2=27.5 ug/m3, flame=540, RSSI=-102 dBm, SNR=9.3 dB
LoRa RX #39: T=37.0 C, PM1=14.1, PM2=28.3 ug/m3, flame=538, RSSI=-101 dBm, SNR=9.4 dB
LoRa RX #40: T=36.8 C, PM1=13.9, PM2=28.7 ug/m3, flame=537, RSSI=-100 dBm, SNR=9.4 dB
LoRa RX #41: T=37.0 C, PM1=13.4, PM2=27.5 ug/m3, flame=537, RSSI=-102 dBm, SNR=9.1 dB
LoRa RX #42: T=36.4 C, PM1=13.4, PM2=27.9 ug/m3, flame=540, RSSI=-100 dBm, SNR=9.2 dB
LoRa RX #43: T=36.7 C, PM1=14.0, PM2=29.1 ug/m3, flame=539, RSSI=-101 dBm, SNR=9.3 dB
LoRa RX #44: T=36.5 C, PM1=13.0, PM2=26.2 ug/m3, flame=536, RSSI=-100 dBm, SNR=9.0 dB
LoRa RX #45: T=36.4 C, PM1=13.0, PM2=27.3 ug/m3, flame=537, RSSI=-100 dBm, SNR=9.3 dB
LoRa RX #46: T=36.2 C, PM1=13.3, PM2=27.8 ug/m3, flame=528, RSSI=-101 dBm, SNR=9.5 dB
LoRa RX #47: T=36.3 C, PM1=13.3, PM2=27.9 ug/m3, flame=531, RSSI=-101 dBm, SNR=9.3 dB
LoRa RX #48: T=35.7 C, PM1=13.7, PM2=27.7 ug/m3, flame=529, RSSI=-100 dBm, SNR=9.0 dB
LoRa RX #49: T=35.7 C, PM1=13.3, PM2=27.6 ug/m3, flame=538, RSSI=-100 dBm, SNR=9.3 dB
LoRa RX #50: T=35.2 C, PM1=13.1, PM2=27.1 ug/m3, flame=532, RSSI=-102 dBm, SNR=9.1 dB
LoRa RX #51: T=35.4 C, PM1=12.9, PM2=26.9 ug/m3, flame=535, RSSI=-100 dBm, SNR=9.0 dB
LoRa RX #52: T=35.3 C, PM1=13.1, PM2=26.3 ug/m3, flame=529, RSSI=-100 dBm, SNR=9.3 dB
LoRa RX #53: T=34.5 C, PM1=13.4, PM2=27.8 ug/m3, flame=531, RSSI=-100 dBm, SNR=9.0 dB
LoRa RX #54: T=34.3 C, PM1=13.4, PM2=26.8 ug/m3, flame=527, RSSI=-100 dBm, SNR=9.1 dB
LoRa RX #55: T=34.1 C, PM1=12.9, PM2=26.2 ug/m3, flame=525, RSSI=-99 dBm, SNR=9.1 dB
LoRa RX #56: T=34.4 C, PM1=12.7, PM2=26.4 ug/m3, flame=533, RSSI=-99 dBm, SNR=9.1 dB
LoRa RX #57: T=34.2 C, PM1=13.0, PM2=27.3 ug/m3, flame=526, RSSI=-99 dBm, SNR=9.2 dB
LoRa RX #58: T=33.9 C, PM1=12.9, PM2=25.8 ug/m3, flame=528, RSSI=-101 dBm, SNR=9.0 dB
LoRa RX #59: T=33.5 C, PM1=12.5, PM2=25.5 ug/m3, flame=523, RSSI=-100 dBm, SNR=9.2 dB
LoRa RX #60: T=33.3 C, PM1=13.3, PM2=26.9 ug/m3, flame=525, RSSI=-100 dBm, SNR=8.9 dB
LoRa RX #61: T=33.3 C, PM1=12.3, PM2=24.5 ug/m3, flame=520, RSSI=-100 dBm, SNR=9.2 dB
LoRa RX #62: T=33.5 C, PM1=13.0, PM2=27.1 ug/m3, flame=517, RSSI=-98 dBm, SNR=9.0 dB
LoRa RX #63: T=32.9 C, PM1=12.6, PM2=25.6 ug/m3, flame=524, RSSI=-101 dBm, SNR=9.2 dB
LoRa RX #64: T=32.5 C, PM1=12.6, PM2=25.5 ug/m3, flame=523, RSSI=-100 dBm, SNR=8.8 dB
LoRa RX #65: T=33.0 C, PM1=12.9, PM2=25.8 ug/m3, flame=514, RSSI=-99 dBm, SNR=9.1 dB
LoRa RX #66: T=32.7 C, PM1=12.1, PM2=24.2 ug/m3, flame=520, RSSI=-98 dBm, SNR=8.7 dB
LoRa RX #67: T=32.2 C, PM1=12.1, PM2=24.7 ug/m3, flame=520, RSSI=-99 dBm, SNR=8.7 dB
LoRa RX #68: T=32.4 C, PM1=12.1, PM2=24.8 ug/m3, flame=510, RSSI=-99 dBm, SNR=8.7 dB
LoRa RX #69: T=31.6 C, PM1=11.8, PM2=23.7 ug/m3, flame=509, RSSI=-98 dBm, SNR=8.9 dB
LoRa RX #70: T=31.7 C, PM1=12.6, PM2=25.0 ug/m3, flame=511, RSSI=-99 dBm, SNR=8.6 dB
LoRa RX #71: T=31.3 C, PM1=12.3, PM2=25.8 ug/m3, flame=511, RSSI=-100 dBm, SNR=8.6 dB
LoRa RX #72: T=31.5 C, PM1=11.9, PM2=23.5 ug/m3, flame=507, RSSI=-101 dBm, SNR=8.4 dB
LoRa RX #73: T=31.0 C, PM1=12.5, PM2=24.9 ug/m3, flame=509, RSSI=-101 dBm, SNR=8.7 dB
LoRa RX #74: T=31.1 C, PM1=11.9, PM2=23.4 ug/m3, flame=513, RSSI=-100 dBm, SNR=8.6 dB
LoRa RX #75: T=31.3 C, PM1=11.7, PM2=24.5 ug/m3, flame=503, RSSI=-99 dBm, SNR=8.4 dB
LoRa RX #76: T=31.4 C, PM1=11.7, PM2=24.0 ug/m3, flame=507, RSSI=-99 dBm, SNR=8.3 dB
LoRa RX #77: T=30.7 C, PM1=11.7, PM2=24.4 ug/m3, flame=504, RSSI=-99 dBm, SNR=8.1 dB
LoRa RX #78: T=30.7 C, PM1=11.3, PM2=22.3 ug/m3, flame=502, RSSI=-100 dBm, SNR=8.6 dB
LoRa RX #79: T=31.0 C, PM1=11.9, PM2=23.1 ug/m3, flame=497, RSSI=-99 dBm, SNR=8.4 dB
LoRa RX #80: T=30.9 C, PM1=12.0, PM2=24.5 ug/m3, flame=503, RSSI=-101 dBm, SNR=8.3 dB
LoRa RX #81: T=30.3 C, PM1=11.6, PM2=23.3 ug/m3, flame=495, RSSI=-99 dBm, SNR=8.3 dB
LoRa RX #82: T=31.0 C, PM1=11.3, PM2=22.2 ug/m3, flame=497, RSSI=-99 dBm, SNR=8.4 dB
LoRa RX #83: T=30.7 C, PM1=11.7, PM2=23.3 ug/m3, flame=496, RSSI=-99 dBm, SNR=8.2 dB
LoRa RX #84: T=30.7 C, PM1=11.2, PM2=22.8 ug/m3, flame=496, RSSI=-98 dBm, SNR=8.0 dB
LoRa RX #85: T=30.2 C, PM1=10.8, PM2=20.8 ug/m3, flame=496, RSSI=-100 dBm, SNR=8.2 dB
LoRa RX #86: T=30.8 C, PM1=10.9, PM2=20.9 ug/m3, flame=495, RSSI=-98 dBm, SNR=8.2 dB
LoRa RX #87: T=30.2 C, PM1=11.5, PM2=23.0 ug/m3, flame=490, RSSI=-99 dBm, SNR=8.3 dB
LoRa RX #88: T=30.7 C, PM1=10.8, PM2=21.7 ug/m3, flame=488, RSSI=-98 dBm, SNR=7.7 dB
LoRa RX #89: T=30.2 C, PM1=10.5, PM2=20.7 ug/m3, flame=493, RSSI=-99 dBm, SNR=7.8 dB
LoRa RX #90: T=30.3 C, PM1=11.0, PM2=20.9 ug/m3, flame=490, RSSI=-99 dBm, SNR=7.6 dB
LoRa RX #91: T=30.5 C, PM1=11.1, PM2=21.5 ug/m3, flame=483, RSSI=-100 dBm, SNR=7.7 dB
LoRa RX #92: T=31.0 C, PM1=11.2, PM2=22.0 ug/m3, flame=486, RSSI=-99 dBm, SNR=8.1 dB
LoRa RX #93: T=30.7 C, PM1=10.2, PM2=20.2 ug/m3, flame=484, RSSI=-99 dBm, SNR=7.7 dB
LoRa RX #94: T=30.6 C, PM1=10.3, PM2=20.0 ug/m3, flame=483, RSSI=-100 dBm, SNR=7.7 dB
LoRa RX #95: T=31.1 C, PM1=10.5, PM2=20.7 ug/m3, flame=484, RSSI=-99 dBm, SNR=7.9 dB
LoRa RX #96: T=31.2 C, PM1=10.1, PM2=19.9 ug/m3, flame=486, RSSI=-99 dBm, SNR=7.8 dB
LoRa RX #97: T=31.1 C, PM1=10.1, PM2=19.5 ug/m3, flame=488, RSSI=-99 dBm, SNR=7.4 dB
LoRa RX #98: T=31.2 C, PM1=10.8, PM2=21.3 ug/m3, flame=485, RSSI=-98 dBm, SNR=7.6 dB
LoRa RX #99: T=31.6 C, PM1=10.0, PM2=19.8 ug/m3, flame=481, RSSI=-100 dBm, SNR=7.6 dB
LoRa RX #100: T=31.4 C, PM1=10.1, PM2=19.0 ug/m3, flame=480, RSSI=-98 dBm, SNR=7.7 dB
LoRa RX #101: T=31.5 C, PM1=10.6, PM2=21.0 ug/m3, flame=480, RSSI=-100 dBm, SNR=7.2 dB
LoRa RX #102: T=32.2 C, PM1=10.0, PM2=18.9 ug/m3, flame=480, RSSI=-99 dBm, SNR=7.6 dB
LoRa RX #103: T=31.9 C, PM1=9.7, PM2=18.0 ug/m3, flame=482, RSSI=-98 dBm, SNR=7.3 dB
LoRa RX #104: T=32.4 C, PM1=10.1, PM2=18.5 ug/m3, flame=480, RSSI=-99 dBm, SNR=7.2 dB
LoRa RX #105: T=32.5 C, PM1=10.3, PM2=19.3 ug/m3, flame=472, RSSI=-101 dBm, SNR=7.1 dB
LoRa RX #106: T=32.9 C, PM1=9.8, PM2=18.1 ug/m3, flame=482, RSSI=-99 dBm, SNR=6.9 dB
LoRa RX #107: T=32.5 C, PM1=9.7, PM2=19.1 ug/m3, flame=476, RSSI=-98 dBm, SNR=7.1 dB
LoRa RX #108: T=32.5 C, PM1=10.0, PM2=18.6 ug/m3, flame=479, RSSI=-99 dBm, SNR=7.2 dB
LoRa RX #109: T=32.8 C, PM1=9.5, PM2=17.0 ug/m3, flame=473, RSSI=-99 dBm, SNR=6.7 dB
LoRa RX #110: T=33.4 C, PM1=9.6, PM2=18.4 ug/m3, flame=470, RSSI=-100 dBm, SNR=7.1 dB
LoRa RX #111: T=33.7 C, PM1=9.7, PM2=17.7 ug/m3, flame=477, RSSI=-98 dBm, SNR=7.1 dB
LoRa RX #112: T=34.0 C, PM1=9.0, PM2=16.4 ug/m3, flame=473, RSSI=-98 dBm, SNR=7.2 dB
LoRa RX #113: T=34.1 C, PM1=9.7, PM2=18.5 ug/m3, flame=471, RSSI=-99 dBm, SNR=6.7 dB
LoRa RX #114: T=34.4 C, PM1=9.5, PM2=17.4 ug/m3, flame=480, RSSI=-100 dBm, SNR=6.8 dB
LoRa RX #115: T=34.0 C, PM1=9.7, PM2=17.6 ug/m3, flame=477, RSSI=-99 dBm, SNR=6.7 dB
LoRa RX #116: T=34.2 C, PM1=9.3, PM2=17.1 ug/m3, flame=470, RSSI=-100 dBm, SNR=7.0 dB
LoRa RX #117: T=34.9 C, PM1=8.8, PM2=16.4 ug/m3, flame=474, RSSI=-100 dBm, SNR=6.6 dB
LoRa RX #118: T=34.9 C, PM1=8.7, PM2=16.6 ug/m3, flame=472, RSSI=-99 dBm, SNR=6.4 dB
LoRa RX #119: T=35.3 C, PM1=9.0, PM2=16.1 ug/m3, flame=478, RSSI=-100 dBm, SNR=6.4 dB
LoRa RX #120: T=35.4 C, PM1=9.1, PM2=16.2 ug/m3, flame=472, RSSI=-101 dBm, SNR=6.5 dB
LoRa RX #121: T=35.7 C, PM1=9.2, PM2=17.5 ug/m3, flame=478, RSSI=-98 dBm, SNR=6.6 dB
LoRa RX #122: T=35.6 C, PM1=9.1, PM2=17.4 ug/m3, flame=478, RSSI=-98 dBm, SNR=6.7 dB
LoRa RX #123: T=35.8 C, PM1=8.6, PM2=15.2 ug/m3, flame=478, RSSI=-99 dBm, SNR=6.6 dB
LoRa RX #124: T=35.7 C, PM1=9.0, PM2=16.8 ug/m3, flame=476, RSSI=-100 dBm, SNR=6.3 dB
LoRa RX #125: T=36.3 C, PM1=9.3, PM2=16.5 ug/m3, flame=479, RSSI=-99 dBm, SNR=6.6 dB
LoRa RX #126: T=36.2 C, PM1=9.0, PM2=16.3 ug/m3, flame=474, RSSI=-101 dBm, SNR=6.4 dB
LoRa RX #127: T=36.3 C, PM1=8.6, PM2=16.1 ug/m3, flame=478, RSSI=-100 dBm, SNR=6.4 dB
LoRa RX #128: T=36.5 C, PM1=8.7, PM2=15.8 ug/m3, flame=475, RSSI=-100 dBm, SNR=6.6 dB
LoRa RX #129: T=36.3 C, PM1=9.1, PM2=16.3 ug/m3, flame=479, RSSI=-101 dBm, SNR=6.5 dB
LoRa RX #130: T=37.1 C, PM1=8.4, PM2=15.6 ug/m3, flame=486, RSSI=-101 dBm, SNR=6.1 dB
LoRa RX #131: T=37.2 C, PM1=8.2, PM2=14.7 ug/m3, flame=482, RSSI=-99 dBm, SNR=6.0 dB
LoRa RX #132: T=37.1 C, PM1=8.1, PM2=14.6 ug/m3, flame=478, RSSI=-101 dBm, SNR=5.9 dB
LoRa RX #133: T=37.0 C, PM1=8.1, PM2=13.8 ug/m3, flame=488, RSSI=-99 dBm, SNR=6.4 dB
LoRa RX #134: T=37.1 C, PM1=8.6, PM2=15.8 ug/m3, flame=481, RSSI=-101 dBm, SNR=5.8 dB
LoRa RX #135: T=37.4 C, PM1=8.8, PM2=15.0 ug/m3, flame=480, RSSI=-99 dBm, SNR=6.3 dB
LoRa RX #136: T=37.1 C, PM1=8.5, PM2=15.6 ug/m3, flame=481, RSSI=-99 dBm, SNR=5.9 dB
LoRa RX #137: T=37.7 C, PM1=8.4, PM2=15.5 ug/m3, flame=487, RSSI=-99 dBm, SNR=6.1 dB
LoRa RX #138: T=37.1 C, PM1=8.4, PM2=15.4 ug/m3, flame=494, RSSI=-100 dBm, SNR=6.2 dB
LoRa RX #139: T=37.5 C, PM1=7.8, PM2=14.3 ug/m3, flame=493, RSSI=-101 dBm, SNR=6.2 dB
LoRa RX #140: T=37.1 C, PM1=8.2, PM2=13.8 ug/m3, flame=490, RSSI=-99 dBm, SNR=6.0 dB
LoRa RX #141: T=37.6 C, PM1=8.7, PM2=14.8 ug/m3, flame=496, RSSI=-100 dBm, SNR=5.8 dB
LoRa RX #142: T=37.6 C, PM1=8.2, PM2=15.1 ug/m3, flame=494, RSSI=-100 dBm, SNR=5.7 dB
LoRa RX #143: T=37.6 C, PM1=8.5, PM2=14.6 ug/m3, flame=490, RSSI=-100 dBm, SNR=5.9 dB
LoRa RX #144: T=37.1 C, PM1=8.3, PM2=15.1 ug/m3, flame=494, RSSI=-102 dBm, SNR=5.6 dB
LoRa RX #145: T=37.2 C, PM1=8.4, PM2=14.2 ug/m3, flame=492, RSSI=-100 dBm, SNR=5.8 dB
LoRa RX #146: T=37.5 C, PM1=8.5, PM2=14.2 ug/m3, flame=504, RSSI=-100 dBm, SNR=6.0 dB
LoRa RX #147: T=37.4 C, PM1=8.4, PM2=14.6 ug/m3, flame=498, RSSI=-101 dBm, SNR=5.8 dB
LoRa RX #148: T=37.7 C, PM1=8.0, PM2=14.1 ug/m3, flame=498, RSSI=-100 dBm, SNR=5.7 dB
LoRa RX #149: T=37.5 C, PM1=8.1, PM2=14.3 ug/m3, flame=503, RSSI=-101 dBm, SNR=5.5 dB
LoRa RX #150: T=37.2 C, PM1=8.2, PM2=14.0 ug/m3, flame=497, RSSI=-101 dBm, SNR=5.6 dB
LoRa RX #151: T=36.9 C, PM1=7.6, PM2=13.1 ug/m3, flame=500, RSSI=-100 dBm, SNR=5.9 dB
LoRa RX #152: T=37.3 C, PM1=8.5, PM2=15.1 ug/m3, flame=501, RSSI=-100 dBm, SNR=5.6 dB
LoRa RX #153: T=36.7 C, PM1=7.7, PM2=13.7 ug/m3, flame=501, RSSI=-100 dBm, SNR=6.0 dB
LoRa RX #154: T=36.5 C, PM1=8.0, PM2=13.7 ug/m3, flame=507, RSSI=-102 dBm, SNR=5.6 dB
LoRa RX #155: T=37.0 C, PM1=7.6, PM2=13.7 ug/m3, flame=512, RSSI=-102 dBm, SNR=5.9 dB
LoRa RX #156: T=36.7 C, PM1=8.2, PM2=14.5 ug/m3, flame=515, RSSI=-101 dBm, SNR=5.5 dB
LoRa RX #157: T=36.2 C, PM1=7.6, PM2=12.9 ug/m3, flame=515, RSSI=-103 dBm, SNR=5.8 dB
LoRa RX #158: T=36.0 C, PM1=8.4, PM2=14.8 ug/m3, flame=518, RSSI=-102 dBm, SNR=5.5 dB
LoRa RX #159: T=36.0 C, PM1=8.0, PM2=13.2 ug/m3, flame=512, RSSI=-100 dBm, SNR=6.0 dB
LoRa RX #160: T=36.2 C, PM1=8.0, PM2=14.1 ug/m3, flame=516, RSSI=-102 dBm, SNR=6.0 dB
LoRa RX #161: T=35.4 C, PM1=8.2, PM2=13.7 ug/m3, flame=514, RSSI=-103 dBm, SNR=5.7 dB
LoRa RX #162: T=35.6 C, PM1=7.7, PM2=13.8 ug/m3, flame=518, RSSI=-103 dBm, SNR=5.7 dB
LoRa RX #163: T=35.8 C, PM1=8.1, PM2=14.4 ug/m3, flame=516, RSSI=-101 dBm, SNR=5.8 dB
LoRa RX #164: T=35.6 C, PM1=7.8, PM2=13.7 ug/m3, flame=524, RSSI=-102 dBm, SNR=5.9 dB
LoRa RX #165: T=35.4 C, PM1=8.5, PM2=15.0 ug/m3, flame=521, RSSI=-101 dBm, SNR=5.6 dB
LoRa RX #166: T=34.6 C, PM1=7.8, PM2=14.4 ug/m3, flame=519, RSSI=-101 dBm, SNR=5.6 dB
LoRa RX #167: T=34.6 C, PM1=7.9, PM2=13.9 ug/m3, flame=524, RSSI=-102 dBm, SNR=5.7 dB
LoRa RX #168: T=34.8 C, PM1=8.0, PM2=14.7 ug/m3, flame=521, RSSI=-101 dBm, SNR=5.8 dB
LoRa RX #169: T=34.0 C, PM1=8.1, PM2=14.1 ug/m3, flame=524, RSSI=-101 dBm, SNR=5.5 dB
LoRa RX #170: T=34.5 C, PM1=8.2, PM2=13.9 ug/m3, flame=524, RSSI=-103 dBm, SNR=5.8 dB
LoRa RX #171: T=33.6 C, PM1=7.7, PM2=12.9 ug/m3, flame=529, RSSI=-101 dBm, SNR=5.7 dB
LoRa RX #172: T=34.0 C, PM1=8.5, PM2=14.4 ug/m3, flame=527, RSSI=-101 dBm, SNR=5.8 dB
LoRa RX #173: T=33.9 C, PM1=8.5, PM2=15.9 ug/m3, flame=527, RSSI=-101 dBm, SNR=5.9 dB
LoRa RX #174: T=33.5 C, PM1=7.8, PM2=14.2 ug/m3, flame=526, RSSI=-104 dBm, SNR=5.8 dB
LoRa RX #175: T=32.9 C, PM1=8.4, PM2=14.6 ug/m3, flame=529, RSSI=-103 dBm, SNR=6.0 dB
LoRa RX #176: T=32.6 C, PM1=8.0, PM2=14.3 ug/m3, flame=531, RSSI=-104 dBm, SNR=6.0 dB
LoRa RX #177: T=32.6 C, PM1=8.4, PM2=15.1 ug/m3, flame=532, RSSI=-104 dBm, SNR=5.7 dB
LoRa RX #178: T=32.7 C, PM1=8.4, PM2=14.8 ug/m3, flame=527, RSSI=-104 dBm, SNR=5.6 dB
LoRa RX #179: T=32.7 C, PM1=8.7, PM2=14.8 ug/m3, flame=536, RSSI=-102 dBm, SNR=6.2 dB
LoRa RX #180: T=31.9 C, PM1=8.0, PM2=14.1 ug/m3, flame=535, RSSI=-103 dBm, SNR=6.1 dB
LoRa RX #181: T=32.2 C, PM1=8.8, PM2=15.5 ug/m3, flame=539, RSSI=-103 dBm, SNR=5.9 dB
LoRa RX #182: T=32.2 C, PM1=8.7, PM2=14.8 ug/m3, flame=529, RSSI=-102 dBm, SNR=5.8 dB
LoRa RX #183: T=32.0 C, PM1=8.4, PM2=14.4 ug/m3, flame=537, RSSI=-103 dBm, SNR=5.8 dB
LoRa RX #184: T=31.8 C, PM1=8.9, PM2=16.3 ug/m3, flame=534, RSSI=-102 dBm, SNR=6.1 dB
LoRa RX #185: T=31.7 C, PM1=8.3, PM2=14.5 ug/m3, flame=538, RSSI=-102 dBm, SNR=6.1 dB
LoRa RX #186: T=31.7 C, PM1=8.1, PM2=14.3 ug/m3, flame=529, RSSI=-103 dBm, SNR=6.2 dB
LoRa RX #187: T=31.1 C, PM1=8.5, PM2=15.1 ug/m3, flame=531, RSSI=-102 dBm, SNR=6.1 dB
LoRa RX #188: T=31.2 C, PM1=9.0, PM2=16.7 ug/m3, flame=534, RSSI=-104 dBm, SNR=6.0 dB
LoRa RX #189: T=30.7 C, PM1=8.3, PM2=14.6 ug/m3, flame=534, RSSI=-105 dBm, SNR=6.2 dB
LoRa RX #190: T=31.3 C, PM1=8.5, PM2=16.1 ug/m3, flame=539, RSSI=-105 dBm, SNR=6.0 dB
LoRa RX #191: T=30.7 C, PM1=8.8, PM2=15.3 ug/m3, flame=533, RSSI=-104 dBm, SNR=6.3 dB
LoRa RX #192: T=30.6 C, PM1=8.6, PM2=15.6 ug/m3, flame=532, RSSI=-104 dBm, SNR=6.1 dB
LoRa RX #193: T=31.0 C, PM1=9.1, PM2=17.3 ug/m3, flame=539, RSSI=-104 dBm, SNR=6.3 dB
LoRa RX #194: T=30.3 C, PM1=8.7, PM2=16.5 ug/m3, flame=532, RSSI=-106 dBm, SNR=6.2 dB
LoRa RX #195: T=30.3 C, PM1=9.3, PM2=16.7 ug/m3, flame=529, RSSI=-103 dBm, SNR=6.3 dB
LoRa RX #196: T=30.2 C, PM1=9.4, PM2=17.1 ug/m3, flame=529, RSSI=-104 dBm, SNR=6.1 dB
LoRa RX #197: T=30.8 C, PM1=9.5, PM2=18.2 ug/m3, flame=537, RSSI=-104 dBm, SNR=6.5 dB
LoRa RX #198: T=30.4 C, PM1=9.4, PM2=17.9 ug/m3, flame=527, RSSI=-106 dBm, SNR=6.4 dB
LoRa RX #199: T=30.1 C, PM1=8.8, PM2=16.4 ug/m3, flame=538, RSSI=-104 dBm, SNR=6.4 dB
LoRa RX #200: T=30.6 C, PM1=9.3, PM2=18.0 ug/m3, flame=537, RSSI=-104 dBm, SNR=6.5 dB
LoRa RX #201: T=30.4 C, PM1=9.5, PM2=17.4 ug/m3, flame=530, RSSI=-104 dBm, SNR=6.7 dB
LoRa RX #202: T=30.5 C, PM1=9.2, PM2=17.5 ug/m3, flame=530, RSSI=-106 dBm, SNR=6.4 dB
LoRa RX #203: T=30.8 C, PM1=9.5, PM2=18.0 ug/m3, flame=532, RSSI=-105 dBm, SNR=6.3 dB
LoRa RX #204: T=30.5 C, PM1=9.9, PM2=18.4 ug/m3, flame=529, RSSI=-106 dBm, SNR=6.6 dB
LoRa RX #205: T=30.3 C, PM1=9.7, PM2=18.0 ug/m3, flame=529, RSSI=-104 dBm, SNR=6.6 dB
LoRa RX #206: T=30.5 C, PM1=9.2, PM2=17.8 ug/m3, flame=531, RSSI=-106 dBm, SNR=6.5 dB
LoRa RX #207: T=31.1 C, PM1=9.2, PM2=16.8 ug/m3, flame=527, RSSI=-106 dBm, SNR=6.6 dB
